emp_id,name,role,hire_date,rate,status,certifications,manager_id,team
EMP-036,Employee Name 36,senior_tech,2021-01-09,61,active,CERT-2,EMP-017,Team 5
EMP-037,Employee Name 37,manager,2022-02-10,62,active,CERT-3,EMP-018,Team 6
EMP-038,Employee Name 38,dispatcher,2023-03-11,63,active,CERT-4,EMP-019,Team 7
EMP-039,Employee Name 39,sales,2024-04-12,64,active,CERT-5,EMP-020,Team 8
EMP-040,Employee Name 40,technician,2025-05-13,25,on_leave,CERT-1,EMP-001,Team 1
EMP-041,Employee Name 41,senior_tech,2026-06-14,26,active,CERT-2,EMP-002,Team 2
EMP-042,Employee Name 42,manager,2020-07-15,27,active,CERT-3,EMP-003,Team 3
EMP-043,Employee Name 43,dispatcher,2021-08-16,28,active,CERT-4,EMP-004,Team 4
EMP-044,Employee Name 44,sales,2022-09-17,29,active,CERT-5,EMP-005,Team 5
EMP-045,Employee Name 45,technician,2023-01-18,30,terminated,CERT-1,EMP-006,Team 6
EMP-046,Employee Name 46,senior_tech,2024-02-19,31,active,CERT-2,EMP-007,Team 7
EMP-047,Employee Name 47,manager,2025-03-20,32,active,CERT-3,EMP-008,Team 8
EMP-048,Employee Name 48,dispatcher,2026-04-21,33,active,CERT-4,EMP-009,Team 1
EMP-049,Employee Name 49,sales,2020-05-22,34,active,CERT-5,EMP-010,Team 2
EMP-050,Employee Name 50,technician,2021-06-23,35,on_leave,CERT-1,EMP-011,Team 3
EMP-051,Employee Name 51,senior_tech,2022-07-24,36,active,CERT-2,EMP-012,Team 4
EMP-052,Employee Name 52,manager,2023-08-25,37,active,CERT-3,EMP-013,Team 5
EMP-053,Employee Name 53,dispatcher,2024-09-26,38,active,CERT-4,EMP-014,Team 6
EMP-054,Employee Name 54,sales,2025-01-27,39,active,CERT-5,EMP-015,Team 7
EMP-055,Employee Name 55,technician,2026-02-28,40,active,CERT-1,EMP-016,Team 8
EMP-056,Employee Name 56,senior_tech,2020-03-01,41,active,CERT-2,EMP-017,Team 1
EMP-057,Employee Name 57,manager,2021-04-02,42,active,CERT-3,EMP-018,Team 2
EMP-058,Employee Name 58,dispatcher,2022-05-03,43,active,CERT-4,EMP-019,Team 3
EMP-059,Employee Name 59,sales,2023-06-04,44,active,CERT-5,EMP-020,Team 4
EMP-060,Employee Name 60,technician,2024-07-05,45,on_leave,CERT-1,EMP-001,Team 5
EMP-061,Employee Name 61,senior_tech,2025-08-06,46,active,CERT-2,EMP-002,Team 6
EMP-062,Employee Name 62,manager,2026-09-07,47,active,CERT-3,EMP-003,Team 7
EMP-063,Employee Name 63,dispatcher,2020-01-08,48,active,CERT-4,EMP-004,Team 8
EMP-064,Employee Name 64,sales,2021-02-09,49,active,CERT-5,EMP-005,Team 1
EMP-065,Employee Name 65,technician,2022-03-10,50,active,CERT-1,EMP-006,Team 2
EMP-066,Employee Name 66,senior_tech,2023-04-11,51,active,CERT-2,EMP-007,Team 3
EMP-067,Employee Name 67,manager,2024-05-12,52,active,CERT-3,EMP-008,Team 4
EMP-068,Employee Name 68,dispatcher,2025-06-13,53,active,CERT-4,EMP-009,Team 5
EMP-069,Employee Name 69,sales,2026-07-14,54,active,CERT-5,EMP-010,Team 6
EMP-070,Employee Name 70,technician,2020-08-15,55,on_leave,CERT-1,EMP-011,Team 7
EMP-071,Employee Name 71,senior_tech,2021-09-16,56,active,CERT-2,EMP-012,Team 8
EMP-072,Employee Name 72,manager,2022-01-17,57,active,CERT-3,EMP-013,Team 1
EMP-073,Employee Name 73,dispatcher,2023-02-18,58,active,CERT-4,EMP-014,Team 2
EMP-074,Employee Name 74,sales,2024-03-19,59,active,CERT-5,EMP-015,Team 3
EMP-075,Employee Name 75,technician,2025-04-20,60,terminated,CERT-1,EMP-016,Team 4
EMP-076,Employee Name 76,senior_tech,2026-05-21,61,active,CERT-2,EMP-017,Team 5
EMP-077,Employee Name 77,manager,2020-06-22,62,active,CERT-3,EMP-018,Team 6
EMP-078,Employee Name 78,dispatcher,2021-07-23,63,active,CERT-4,EMP-019,Team 7
EMP-079,Employee Name 79,sales,2022-08-24,64,active,CERT-5,EMP-020,Team 8
EMP-080,Employee Name 80,technician,2023-09-25,25,on_leave,CERT-1,EMP-001,Team 1
EMP-081,Employee Name 81,senior_tech,2024-01-26,26,active,CERT-2,EMP-002,Team 2
EMP-082,Employee Name 82,manager,2025-02-27,27,active,CERT-3,EMP-003,Team 3
EMP-083,Employee Name 83,dispatcher,2026-03-28,28,active,CERT-4,EMP-004,Team 4
EMP-084,Employee Name 84,sales,2020-04-01,29,active,CERT-5,EMP-005,Team 5
EMP-085,Employee Name 85,technician,2021-05-02,30,active,CERT-1,EMP-006,Team 6
EMP-086,Employee Name 86,senior_tech,2022-06-03,31,active,CERT-2,EMP-007,Team 7
EMP-087,Employee Name 87,manager,2023-07-04,32,active,CERT-3,EMP-008,Team 8
EMP-088,Employee Name 88,dispatcher,2024-08-05,33,active,CERT-4,EMP-009,Team 1
EMP-089,Employee Name 89,sales,2025-09-06,34,active,CERT-5,EMP-010,Team 2
EMP-090,Employee Name 90,technician,2026-01-07,35,on_leave,CERT-1,EMP-011,Team 3
EMP-091,Employee Name 91,senior_tech,2020-02-08,36,active,CERT-2,EMP-012,Team 4
EMP-092,Employee Name 92,manager,2021-03-09,37,active,CERT-3,EMP-013,Team 5
EMP-093,Employee Name 93,dispatcher,2022-04-10,38,active,CERT-4,EMP-014,Team 6
EMP-094,Employee Name 94,sales,2023-05-11,39,active,CERT-5,EMP-015,Team 7
EMP-095,Employee Name 95,technician,2024-06-12,40,active,CERT-1,EMP-016,Team 8
EMP-096,Employee Name 96,senior_tech,2025-07-13,41,active,CERT-2,EMP-017,Team 1
EMP-097,Employee Name 97,manager,2026-08-14,42,active,CERT-3,EMP-018,Team 2
EMP-098,Employee Name 98,dispatcher,2020-09-15,43,active,CERT-4,EMP-019,Team 3
EMP-099,Employee Name 99,sales,2021-01-16,44,active,CERT-5,EMP-020,Team 4
EMP-100,Employee Name 100,technician,2022-02-17,45,on_leave,CERT-1,EMP-001,Team 5
EMP-101,Employee Name 101,senior_tech,2023-03-18,46,active,CERT-2,EMP-002,Team 6
EMP-102,Employee Name 102,manager,2024-04-19,47,active,CERT-3,EMP-003,Team 7
EMP-103,Employee Name 103,dispatcher,2025-05-20,48,active,CERT-4,EMP-004,Team 8
EMP-104,Employee Name 104,sales,2026-06-21,49,active,CERT-5,EMP-005,Team 1
EMP-105,Employee Name 105,technician,2020-07-22,50,terminated,CERT-1,EMP-006,Team 2
EMP-106,Employee Name 106,senior_tech,2021-08-23,51,active,CERT-2,EMP-007,Team 3
EMP-107,Employee Name 107,manager,2022-09-24,52,active,CERT-3,EMP-008,Team 4
EMP-108,Employee Name 108,dispatcher,2023-01-25,53,active,CERT-4,EMP-009,Team 5
EMP-109,Employee Name 109,sales,2024-02-26,54,active,CERT-5,EMP-010,Team 6
EMP-110,Employee Name 110,technician,2025-03-27,55,on_leave,CERT-1,EMP-011,Team 7
EMP-111,Employee Name 111,senior_tech,2026-04-28,56,active,CERT-2,EMP-012,Team 8
EMP-112,Employee Name 112,manager,2020-05-01,57,active,CERT-3,EMP-013,Team 1
EMP-113,Employee Name 113,dispatcher,2021-06-02,58,active,CERT-4,EMP-014,Team 2
EMP-114,Employee Name 114,sales,2022-07-03,59,active,CERT-5,EMP-015,Team 3
EMP-115,Employee Name 115,technician,2023-08-04,60,active,CERT-1,EMP-016,Team 4
EMP-116,Employee Name 116,senior_tech,2024-09-05,61,active,CERT-2,EMP-017,Team 5
EMP-117,Employee Name 117,manager,2025-01-06,62,active,CERT-3,EMP-018,Team 6
EMP-118,Employee Name 118,dispatcher,2026-02-07,63,active,CERT-4,EMP-019,Team 7
EMP-119,Employee Name 119,sales,2020-03-08,64,active,CERT-5,EMP-020,Team 8
EMP-120,Employee Name 120,technician,2021-04-09,25,on_leave,CERT-1,EMP-001,Team 1
EMP-121,Employee Name 121,senior_tech,2022-05-10,26,active,CERT-2,EMP-002,Team 2
EMP-122,Employee Name 122,manager,2023-06-11,27,active,CERT-3,EMP-003,Team 3
EMP-123,Employee Name 123,dispatcher,2024-07-12,28,active,CERT-4,EMP-004,Team 4
EMP-124,Employee Name 124,sales,2025-08-13,29,active,CERT-5,EMP-005,Team 5
EMP-125,Employee Name 125,technician,2026-09-14,30,active,CERT-1,EMP-006,Team 6
EMP-126,Employee Name 126,senior_tech,2020-01-15,31,active,CERT-2,EMP-007,Team 7
EMP-127,Employee Name 127,manager,2021-02-16,32,active,CERT-3,EMP-008,Team 8
EMP-128,Employee Name 128,dispatcher,2022-03-17,33,active,CERT-4,EMP-009,Team 1
EMP-129,Employee Name 129,sales,2023-04-18,34,active,CERT-5,EMP-010,Team 2
EMP-130,Employee Name 130,technician,2024-05-19,35,on_leave,CERT-1,EMP-011,Team 3
EMP-131,Employee Name 131,senior_tech,2025-06-20,36,active,CERT-2,EMP-012,Team 4
EMP-132,Employee Name 132,manager,2026-07-21,37,active,CERT-3,EMP-013,Team 5
EMP-133,Employee Name 133,dispatcher,2020-08-22,38,active,CERT-4,EMP-014,Team 6
EMP-134,Employee Name 134,sales,2021-09-23,39,active,CERT-5,EMP-015,Team 7
EMP-135,Employee Name 135,technician,2022-01-24,40,terminated,CERT-1,EMP-016,Team 8
EMP-136,Employee Name 136,senior_tech,2023-02-25,41,active,CERT-2,EMP-017,Team 1
EMP-137,Employee Name 137,manager,2024-03-26,42,active,CERT-3,EMP-018,Team 2
EMP-138,Employee Name 138,dispatcher,2025-04-27,43,active,CERT-4,EMP-019,Team 3
EMP-139,Employee Name 139,sales,2026-05-28,44,active,CERT-5,EMP-020,Team 4
EMP-140,Employee Name 140,technician,2020-06-01,45,on_leave,CERT-1,EMP-001,Team 5
EMP-141,Employee Name 141,senior_tech,2021-07-02,46,active,CERT-2,EMP-002,Team 6
EMP-142,Employee Name 142,manager,2022-08-03,47,active,CERT-3,EMP-003,Team 7
EMP-143,Employee Name 143,dispatcher,2023-09-04,48,active,CERT-4,EMP-004,Team 8
EMP-144,Employee Name 144,sales,2024-01-05,49,active,CERT-5,EMP-005,Team 1
EMP-145,Employee Name 145,technician,2025-02-06,50,active,CERT-1,EMP-006,Team 2
EMP-146,Employee Name 146,senior_tech,2026-03-07,51,active,CERT-2,EMP-007,Team 3
EMP-147,Employee Name 147,manager,2020-04-08,52,active,CERT-3,EMP-008,Team 4
EMP-148,Employee Name 148,dispatcher,2021-05-09,53,active,CERT-4,EMP-009,Team 5
EMP-149,Employee Name 149,sales,2022-06-10,54,active,CERT-5,EMP-010,Team 6
EMP-150,Employee Name 150,technician,2023-07-11,55,on_leave,CERT-1,EMP-011,Team 7
EMP-151,Employee Name 151,senior_tech,2024-08-12,56,active,CERT-2,EMP-012,Team 8
EMP-152,Employee Name 152,manager,2025-09-13,57,active,CERT-3,EMP-013,Team 1
EMP-153,Employee Name 153,dispatcher,2026-01-14,58,active,CERT-4,EMP-014,Team 2
EMP-154,Employee Name 154,sales,2020-02-15,59,active,CERT-5,EMP-015,Team 3
EMP-155,Employee Name 155,technician,2021-03-16,60,active,CERT-1,EMP-016,Team 4
EMP-156,Employee Name 156,senior_tech,2022-04-17,61,active,CERT-2,EMP-017,Team 5
EMP-157,Employee Name 157,manager,2023-05-18,62,active,CERT-3,EMP-018,Team 6
EMP-158,Employee Name 158,dispatcher,2024-06-19,63,active,CERT-4,EMP-019,Team 7
EMP-159,Employee Name 159,sales,2025-07-20,64,active,CERT-5,EMP-020,Team 8
EMP-160,Employee Name 160,technician,2026-08-21,25,on_leave,CERT-1,EMP-001,Team 1
EMP-161,Employee Name 161,senior_tech,2020-09-22,26,active,CERT-2,EMP-002,Team 2
EMP-162,Employee Name 162,manager,2021-01-23,27,active,CERT-3,EMP-003,Team 3
EMP-163,Employee Name 163,dispatcher,2022-02-24,28,active,CERT-4,EMP-004,Team 4
EMP-164,Employee Name 164,sales,2023-03-25,29,active,CERT-5,EMP-005,Team 5
EMP-165,Employee Name 165,technician,2024-04-26,30,terminated,CERT-1,EMP-006,Team 6
EMP-166,Employee Name 166,senior_tech,2025-05-27,31,active,CERT-2,EMP-007,Team 7
EMP-167,Employee Name 167,manager,2026-06-28,32,active,CERT-3,EMP-008,Team 8
EMP-168,Employee Name 168,dispatcher,2020-07-01,33,active,CERT-4,EMP-009,Team 1
EMP-169,Employee Name 169,sales,2021-08-02,34,active,CERT-5,EMP-010,Team 2
EMP-170,Employee Name 170,technician,2022-09-03,35,on_leave,CERT-1,EMP-011,Team 3
EMP-171,Employee Name 171,senior_tech,2023-01-04,36,active,CERT-2,EMP-012,Team 4
EMP-172,Employee Name 172,manager,2024-02-05,37,active,CERT-3,EMP-013,Team 5
EMP-173,Employee Name 173,dispatcher,2025-03-06,38,active,CERT-4,EMP-014,Team 6
EMP-174,Employee Name 174,sales,2026-04-07,39,active,CERT-5,EMP-015,Team 7
EMP-175,Employee Name 175,technician,2020-05-08,40,active,CERT-1,EMP-016,Team 8
EMP-176,Employee Name 176,senior_tech,2021-06-09,41,active,CERT-2,EMP-017,Team 1
EMP-177,Employee Name 177,manager,2022-07-10,42,active,CERT-3,EMP-018,Team 2
EMP-178,Employee Name 178,dispatcher,2023-08-11,43,active,CERT-4,EMP-019,Team 3
EMP-179,Employee Name 179,sales,2024-09-12,44,active,CERT-5,EMP-020,Team 4
EMP-180,Employee Name 180,technician,2025-01-13,45,on_leave,CERT-1,EMP-001,Team 5
EMP-181,Employee Name 181,senior_tech,2026-02-14,46,active,CERT-2,EMP-002,Team 6
EMP-182,Employee Name 182,manager,2020-03-15,47,active,CERT-3,EMP-003,Team 7
EMP-183,Employee Name 183,dispatcher,2021-04-16,48,active,CERT-4,EMP-004,Team 8
EMP-184,Employee Name 184,sales,2022-05-17,49,active,CERT-5,EMP-005,Team 1
EMP-185,Employee Name 185,technician,2023-06-18,50,active,CERT-1,EMP-006,Team 2
EMP-186,Employee Name 186,senior_tech,2024-07-19,51,active,CERT-2,EMP-007,Team 3
EMP-187,Employee Name 187,manager,2025-08-20,52,active,CERT-3,EMP-008,Team 4
EMP-188,Employee Name 188,dispatcher,2026-09-21,53,active,CERT-4,EMP-009,Team 5
EMP-189,Employee Name 189,sales,2020-01-22,54,active,CERT-5,EMP-010,Team 6
EMP-190,Employee Name 190,technician,2021-02-23,55,on_leave,CERT-1,EMP-011,Team 7
EMP-191,Employee Name 191,senior_tech,2022-03-24,56,active,CERT-2,EMP-012,Team 8
EMP-192,Employee Name 192,manager,2023-04-25,57,active,CERT-3,EMP-013,Team 1
EMP-193,Employee Name 193,dispatcher,2024-05-26,58,active,CERT-4,EMP-014,Team 2
EMP-194,Employee Name 194,sales,2025-06-27,59,active,CERT-5,EMP-015,Team 3
EMP-195,Employee Name 195,technician,2026-07-28,60,terminated,CERT-1,EMP-016,Team 4
EMP-196,Employee Name 196,senior_tech,2020-08-01,61,active,CERT-2,EMP-017,Team 5
EMP-197,Employee Name 197,manager,2021-09-02,62,active,CERT-3,EMP-018,Team 6
EMP-198,Employee Name 198,dispatcher,2022-01-03,63,active,CERT-4,EMP-019,Team 7
EMP-199,Employee Name 199,sales,2023-02-04,64,active,CERT-5,EMP-020,Team 8
EMP-200,Employee Name 200,technician,2024-03-05,25,on_leave,CERT-1,EMP-001,Team 1
EMP-201,Employee Name 201,senior_tech,2025-04-06,26,active,CERT-2,EMP-002,Team 2
EMP-202,Employee Name 202,manager,2026-05-07,27,active,CERT-3,EMP-003,Team 3
EMP-203,Employee Name 203,dispatcher,2020-06-08,28,active,CERT-4,EMP-004,Team 4
EMP-204,Employee Name 204,sales,2021-07-09,29,active,CERT-5,EMP-005,Team 5
EMP-205,Employee Name 205,technician,2022-08-10,30,active,CERT-1,EMP-006,Team 6
EMP-206,Employee Name 206,senior_tech,2023-09-11,31,active,CERT-2,EMP-007,Team 7
EMP-207,Employee Name 207,manager,2024-01-12,32,active,CERT-3,EMP-008,Team 8
EMP-208,Employee Name 208,dispatcher,2025-02-13,33,active,CERT-4,EMP-009,Team 1
EMP-209,Employee Name 209,sales,2026-03-14,34,active,CERT-5,EMP-010,Team 2
EMP-210,Employee Name 210,technician,2020-04-15,35,on_leave,CERT-1,EMP-011,Team 3
EMP-211,Employee Name 211,senior_tech,2021-05-16,36,active,CERT-2,EMP-012,Team 4
EMP-212,Employee Name 212,manager,2022-06-17,37,active,CERT-3,EMP-013,Team 5
EMP-213,Employee Name 213,dispatcher,2023-07-18,38,active,CERT-4,EMP-014,Team 6
EMP-214,Employee Name 214,sales,2024-08-19,39,active,CERT-5,EMP-015,Team 7
EMP-215,Employee Name 215,technician,2025-09-20,40,active,CERT-1,EMP-016,Team 8
EMP-216,Employee Name 216,senior_tech,2026-01-21,41,active,CERT-2,EMP-017,Team 1
EMP-217,Employee Name 217,manager,2020-02-22,42,active,CERT-3,EMP-018,Team 2
EMP-218,Employee Name 218,dispatcher,2021-03-23,43,active,CERT-4,EMP-019,Team 3
EMP-219,Employee Name 219,sales,2022-04-24,44,active,CERT-5,EMP-020,Team 4
EMP-220,Employee Name 220,technician,2023-05-25,45,on_leave,CERT-1,EMP-001,Team 5
EMP-221,Employee Name 221,senior_tech,2024-06-26,46,active,CERT-2,EMP-002,Team 6
EMP-222,Employee Name 222,manager,2025-07-27,47,active,CERT-3,EMP-003,Team 7
EMP-223,Employee Name 223,dispatcher,2026-08-28,48,active,CERT-4,EMP-004,Team 8
EMP-224,Employee Name 224,sales,2020-09-01,49,active,CERT-5,EMP-005,Team 1
EMP-225,Employee Name 225,technician,2021-01-02,50,terminated,CERT-1,EMP-006,Team 2
EMP-226,Employee Name 226,senior_tech,2022-02-03,51,active,CERT-2,EMP-007,Team 3
EMP-227,Employee Name 227,manager,2023-03-04,52,active,CERT-3,EMP-008,Team 4
EMP-228,Employee Name 228,dispatcher,2024-04-05,53,active,CERT-4,EMP-009,Team 5
EMP-229,Employee Name 229,sales,2025-05-06,54,active,CERT-5,EMP-010,Team 6
EMP-230,Employee Name 230,technician,2026-06-07,55,on_leave,CERT-1,EMP-011,Team 7
EMP-231,Employee Name 231,senior_tech,2020-07-08,56,active,CERT-2,EMP-012,Team 8
EMP-232,Employee Name 232,manager,2021-08-09,57,active,CERT-3,EMP-013,Team 1
EMP-233,Employee Name 233,dispatcher,2022-09-10,58,active,CERT-4,EMP-014,Team 2
EMP-234,Employee Name 234,sales,2023-01-11,59,active,CERT-5,EMP-015,Team 3
EMP-235,Employee Name 235,technician,2024-02-12,60,active,CERT-1,EMP-016,Team 4
EMP-236,Employee Name 236,senior_tech,2025-03-13,61,active,CERT-2,EMP-017,Team 5
EMP-237,Employee Name 237,manager,2026-04-14,62,active,CERT-3,EMP-018,Team 6
EMP-238,Employee Name 238,dispatcher,2020-05-15,63,active,CERT-4,EMP-019,Team 7
EMP-239,Employee Name 239,sales,2021-06-16,64,active,CERT-5,EMP-020,Team 8
EMP-240,Employee Name 240,technician,2022-07-17,25,on_leave,CERT-1,EMP-001,Team 1
EMP-241,Employee Name 241,senior_tech,2023-08-18,26,active,CERT-2,EMP-002,Team 2
EMP-242,Employee Name 242,manager,2024-09-19,27,active,CERT-3,EMP-003,Team 3
EMP-243,Employee Name 243,dispatcher,2025-01-20,28,active,CERT-4,EMP-004,Team 4
EMP-244,Employee Name 244,sales,2026-02-21,29,active,CERT-5,EMP-005,Team 5
EMP-245,Employee Name 245,technician,2020-03-22,30,active,CERT-1,EMP-006,Team 6
EMP-246,Employee Name 246,senior_tech,2021-04-23,31,active,CERT-2,EMP-007,Team 7
EMP-247,Employee Name 247,manager,2022-05-24,32,active,CERT-3,EMP-008,Team 8
EMP-248,Employee Name 248,dispatcher,2023-06-25,33,active,CERT-4,EMP-009,Team 1
EMP-249,Employee Name 249,sales,2024-07-26,34,active,CERT-5,EMP-010,Team 2
EMP-250,Employee Name 250,technician,2025-08-27,35,on_leave,CERT-1,EMP-011,Team 3
EMP-251,Employee Name 251,senior_tech,2026-09-28,36,active,CERT-2,EMP-012,Team 4
EMP-252,Employee Name 252,manager,2020-01-01,37,active,CERT-3,EMP-013,Team 5
EMP-253,Employee Name 253,dispatcher,2021-02-02,38,active,CERT-4,EMP-014,Team 6
EMP-254,Employee Name 254,sales,2022-03-03,39,active,CERT-5,EMP-015,Team 7
EMP-255,Employee Name 255,technician,2023-04-04,40,terminated,CERT-1,EMP-016,Team 8
EMP-256,Employee Name 256,senior_tech,2024-05-05,41,active,CERT-2,EMP-017,Team 1
EMP-257,Employee Name 257,manager,2025-06-06,42,active,CERT-3,EMP-018,Team 2
EMP-258,Employee Name 258,dispatcher,2026-07-07,43,active,CERT-4,EMP-019,Team 3
EMP-259,Employee Name 259,sales,2020-08-08,44,active,CERT-5,EMP-020,Team 4
EMP-260,Employee Name 260,technician,2021-09-09,45,on_leave,CERT-1,EMP-001,Team 5
EMP-261,Employee Name 261,senior_tech,2022-01-10,46,active,CERT-2,EMP-002,Team 6
EMP-262,Employee Name 262,manager,2023-02-11,47,active,CERT-3,EMP-003,Team 7
EMP-263,Employee Name 263,dispatcher,2024-03-12,48,active,CERT-4,EMP-004,Team 8
EMP-264,Employee Name 264,sales,2025-04-13,49,active,CERT-5,EMP-005,Team 1
EMP-265,Employee Name 265,technician,2026-05-14,50,active,CERT-1,EMP-006,Team 2
EMP-266,Employee Name 266,senior_tech,2020-06-15,51,active,CERT-2,EMP-007,Team 3
EMP-267,Employee Name 267,manager,2021-07-16,52,active,CERT-3,EMP-008,Team 4
EMP-268,Employee Name 268,dispatcher,2022-08-17,53,active,CERT-4,EMP-009,Team 5
EMP-269,Employee Name 269,sales,2023-09-18,54,active,CERT-5,EMP-010,Team 6
EMP-270,Employee Name 270,technician,2024-01-19,55,on_leave,CERT-1,EMP-011,Team 7
EMP-271,Employee Name 271,senior_tech,2025-02-20,56,active,CERT-2,EMP-012,Team 8
EMP-272,Employee Name 272,manager,2026-03-21,57,active,CERT-3,EMP-013,Team 1
EMP-273,Employee Name 273,dispatcher,2020-04-22,58,active,CERT-4,EMP-014,Team 2
EMP-274,Employee Name 274,sales,2021-05-23,59,active,CERT-5,EMP-015,Team 3
EMP-275,Employee Name 275,technician,2022-06-24,60,active,CERT-1,EMP-016,Team 4
EMP-276,Employee Name 276,senior_tech,2023-07-25,61,active,CERT-2,EMP-017,Team 5
EMP-277,Employee Name 277,manager,2024-08-26,62,active,CERT-3,EMP-018,Team 6
EMP-278,Employee Name 278,dispatcher,2025-09-27,63,active,CERT-4,EMP-019,Team 7
EMP-279,Employee Name 279,sales,2026-01-28,64,active,CERT-5,EMP-020,Team 8
EMP-280,Employee Name 280,technician,2020-02-01,25,on_leave,CERT-1,EMP-001,Team 1
EMP-281,Employee Name 281,senior_tech,2021-03-02,26,active,CERT-2,EMP-002,Team 2
EMP-282,Employee Name 282,manager,2022-04-03,27,active,CERT-3,EMP-003,Team 3
EMP-283,Employee Name 283,dispatcher,2023-05-04,28,active,CERT-4,EMP-004,Team 4
EMP-284,Employee Name 284,sales,2024-06-05,29,active,CERT-5,EMP-005,Team 5
EMP-285,Employee Name 285,technician,2025-07-06,30,terminated,CERT-1,EMP-006,Team 6
EMP-286,Employee Name 286,senior_tech,2026-08-07,31,active,CERT-2,EMP-007,Team 7
EMP-287,Employee Name 287,manager,2020-09-08,32,active,CERT-3,EMP-008,Team 8
EMP-288,Employee Name 288,dispatcher,2021-01-09,33,active,CERT-4,EMP-009,Team 1
EMP-289,Employee Name 289,sales,2022-02-10,34,active,CERT-5,EMP-010,Team 2
EMP-290,Employee Name 290,technician,2023-03-11,35,on_leave,CERT-1,EMP-011,Team 3
EMP-291,Employee Name 291,senior_tech,2024-04-12,36,active,CERT-2,EMP-012,Team 4
EMP-292,Employee Name 292,manager,2025-05-13,37,active,CERT-3,EMP-013,Team 5
EMP-293,Employee Name 293,dispatcher,2026-06-14,38,active,CERT-4,EMP-014,Team 6
EMP-294,Employee Name 294,sales,2020-07-15,39,active,CERT-5,EMP-015,Team 7
EMP-295,Employee Name 295,technician,2021-08-16,40,active,CERT-1,EMP-016,Team 8
EMP-296,Employee Name 296,senior_tech,2022-09-17,41,active,CERT-2,EMP-017,Team 1
EMP-297,Employee Name 297,manager,2023-01-18,42,active,CERT-3,EMP-018,Team 2
EMP-298,Employee Name 298,dispatcher,2024-02-19,43,active,CERT-4,EMP-019,Team 3
EMP-299,Employee Name 299,sales,2025-03-20,44,active,CERT-5,EMP-020,Team 4
