vendor_id,name,category,contact_name,contact_email,contact_phone,payment_terms,status,annual_spend
VEN-0025,Vendor Name 25,supplies,Contact 25,vendor25@supplier.com,555-1025,Net 30,active,7500
VEN-0026,Vendor Name 26,equipment,Contact 26,vendor26@supplier.com,555-1026,Net 45,active,7600
VEN-0027,Vendor Name 27,software,Contact 27,vendor27@supplier.com,555-1027,Net 60,active,7700
VEN-0028,Vendor Name 28,services,Contact 28,vendor28@supplier.com,555-1028,Net 75,active,7800
VEN-0029,Vendor Name 29,parts,Contact 29,vendor29@supplier.com,555-1029,Net 90,active,7900
VEN-0030,Vendor Name 30,supplies,Contact 30,vendor30@supplier.com,555-1030,Net 15,inactive,8000
VEN-0031,Vendor Name 31,equipment,Contact 31,vendor31@supplier.com,555-1031,Net 30,active,8100
VEN-0032,Vendor Name 32,software,Contact 32,vendor32@supplier.com,555-1032,Net 45,active,8200
VEN-0033,Vendor Name 33,services,Contact 33,vendor33@supplier.com,555-1033,Net 60,active,8300
VEN-0034,Vendor Name 34,parts,Contact 34,vendor34@supplier.com,555-1034,Net 75,active,8400
VEN-0035,Vendor Name 35,supplies,Contact 35,vendor35@supplier.com,555-1035,Net 90,active,8500
VEN-0036,Vendor Name 36,equipment,Contact 36,vendor36@supplier.com,555-1036,Net 15,active,8600
VEN-0037,Vendor Name 37,software,Contact 37,vendor37@supplier.com,555-1037,Net 30,active,8700
VEN-0038,Vendor Name 38,services,Contact 38,vendor38@supplier.com,555-1038,Net 45,active,8800
VEN-0039,Vendor Name 39,parts,Contact 39,vendor39@supplier.com,555-1039,Net 60,active,8900
VEN-0040,Vendor Name 40,supplies,Contact 40,vendor40@supplier.com,555-1040,Net 75,inactive,9000
VEN-0041,Vendor Name 41,equipment,Contact 41,vendor41@supplier.com,555-1041,Net 90,active,9100
VEN-0042,Vendor Name 42,software,Contact 42,vendor42@supplier.com,555-1042,Net 15,active,9200
VEN-0043,Vendor Name 43,services,Contact 43,vendor43@supplier.com,555-1043,Net 30,active,9300
VEN-0044,Vendor Name 44,parts,Contact 44,vendor44@supplier.com,555-1044,Net 45,active,9400
VEN-0045,Vendor Name 45,supplies,Contact 45,vendor45@supplier.com,555-1045,Net 60,pending_review,9500
VEN-0046,Vendor Name 46,equipment,Contact 46,vendor46@supplier.com,555-1046,Net 75,active,9600
VEN-0047,Vendor Name 47,software,Contact 47,vendor47@supplier.com,555-1047,Net 90,active,9700
VEN-0048,Vendor Name 48,services,Contact 48,vendor48@supplier.com,555-1048,Net 15,active,9800
VEN-0049,Vendor Name 49,parts,Contact 49,vendor49@supplier.com,555-1049,Net 30,active,9900
VEN-0050,Vendor Name 50,supplies,Contact 50,vendor50@supplier.com,555-1050,Net 45,inactive,10000
VEN-0051,Vendor Name 51,equipment,Contact 51,vendor51@supplier.com,555-1051,Net 60,active,10100
VEN-0052,Vendor Name 52,software,Contact 52,vendor52@supplier.com,555-1052,Net 75,active,10200
VEN-0053,Vendor Name 53,services,Contact 53,vendor53@supplier.com,555-1053,Net 90,active,10300
VEN-0054,Vendor Name 54,parts,Contact 54,vendor54@supplier.com,555-1054,Net 15,active,10400
VEN-0055,Vendor Name 55,supplies,Contact 55,vendor55@supplier.com,555-1055,Net 30,active,10500
VEN-0056,Vendor Name 56,equipment,Contact 56,vendor56@supplier.com,555-1056,Net 45,active,10600
VEN-0057,Vendor Name 57,software,Contact 57,vendor57@supplier.com,555-1057,Net 60,active,10700
VEN-0058,Vendor Name 58,services,Contact 58,vendor58@supplier.com,555-1058,Net 75,active,10800
VEN-0059,Vendor Name 59,parts,Contact 59,vendor59@supplier.com,555-1059,Net 90,active,10900
VEN-0060,Vendor Name 60,supplies,Contact 60,vendor60@supplier.com,555-1060,Net 15,inactive,11000
VEN-0061,Vendor Name 61,equipment,Contact 61,vendor61@supplier.com,555-1061,Net 30,active,11100
VEN-0062,Vendor Name 62,software,Contact 62,vendor62@supplier.com,555-1062,Net 45,active,11200
VEN-0063,Vendor Name 63,services,Contact 63,vendor63@supplier.com,555-1063,Net 60,active,11300
VEN-0064,Vendor Name 64,parts,Contact 64,vendor64@supplier.com,555-1064,Net 75,active,11400
VEN-0065,Vendor Name 65,supplies,Contact 65,vendor65@supplier.com,555-1065,Net 90,active,11500
VEN-0066,Vendor Name 66,equipment,Contact 66,vendor66@supplier.com,555-1066,Net 15,active,11600
VEN-0067,Vendor Name 67,software,Contact 67,vendor67@supplier.com,555-1067,Net 30,active,11700
VEN-0068,Vendor Name 68,services,Contact 68,vendor68@supplier.com,555-1068,Net 45,active,11800
VEN-0069,Vendor Name 69,parts,Contact 69,vendor69@supplier.com,555-1069,Net 60,active,11900
VEN-0070,Vendor Name 70,supplies,Contact 70,vendor70@supplier.com,555-1070,Net 75,inactive,12000
VEN-0071,Vendor Name 71,equipment,Contact 71,vendor71@supplier.com,555-1071,Net 90,active,12100
VEN-0072,Vendor Name 72,software,Contact 72,vendor72@supplier.com,555-1072,Net 15,active,12200
VEN-0073,Vendor Name 73,services,Contact 73,vendor73@supplier.com,555-1073,Net 30,active,12300
VEN-0074,Vendor Name 74,parts,Contact 74,vendor74@supplier.com,555-1074,Net 45,active,12400
VEN-0075,Vendor Name 75,supplies,Contact 75,vendor75@supplier.com,555-1075,Net 60,pending_review,12500
VEN-0076,Vendor Name 76,equipment,Contact 76,vendor76@supplier.com,555-1076,Net 75,active,12600
VEN-0077,Vendor Name 77,software,Contact 77,vendor77@supplier.com,555-1077,Net 90,active,12700
VEN-0078,Vendor Name 78,services,Contact 78,vendor78@supplier.com,555-1078,Net 15,active,12800
VEN-0079,Vendor Name 79,parts,Contact 79,vendor79@supplier.com,555-1079,Net 30,active,12900
VEN-0080,Vendor Name 80,supplies,Contact 80,vendor80@supplier.com,555-1080,Net 45,inactive,13000
VEN-0081,Vendor Name 81,equipment,Contact 81,vendor81@supplier.com,555-1081,Net 60,active,13100
VEN-0082,Vendor Name 82,software,Contact 82,vendor82@supplier.com,555-1082,Net 75,active,13200
VEN-0083,Vendor Name 83,services,Contact 83,vendor83@supplier.com,555-1083,Net 90,active,13300
VEN-0084,Vendor Name 84,parts,Contact 84,vendor84@supplier.com,555-1084,Net 15,active,13400
VEN-0085,Vendor Name 85,supplies,Contact 85,vendor85@supplier.com,555-1085,Net 30,active,13500
VEN-0086,Vendor Name 86,equipment,Contact 86,vendor86@supplier.com,555-1086,Net 45,active,13600
VEN-0087,Vendor Name 87,software,Contact 87,vendor87@supplier.com,555-1087,Net 60,active,13700
VEN-0088,Vendor Name 88,services,Contact 88,vendor88@supplier.com,555-1088,Net 75,active,13800
VEN-0089,Vendor Name 89,parts,Contact 89,vendor89@supplier.com,555-1089,Net 90,active,13900
VEN-0090,Vendor Name 90,supplies,Contact 90,vendor90@supplier.com,555-1090,Net 15,inactive,14000
VEN-0091,Vendor Name 91,equipment,Contact 91,vendor91@supplier.com,555-1091,Net 30,active,14100
VEN-0092,Vendor Name 92,software,Contact 92,vendor92@supplier.com,555-1092,Net 45,active,14200
VEN-0093,Vendor Name 93,services,Contact 93,vendor93@supplier.com,555-1093,Net 60,active,14300
VEN-0094,Vendor Name 94,parts,Contact 94,vendor94@supplier.com,555-1094,Net 75,active,14400
VEN-0095,Vendor Name 95,supplies,Contact 95,vendor95@supplier.com,555-1095,Net 90,active,14500
VEN-0096,Vendor Name 96,equipment,Contact 96,vendor96@supplier.com,555-1096,Net 15,active,14600
VEN-0097,Vendor Name 97,software,Contact 97,vendor97@supplier.com,555-1097,Net 30,active,14700
VEN-0098,Vendor Name 98,services,Contact 98,vendor98@supplier.com,555-1098,Net 45,active,14800
VEN-0099,Vendor Name 99,parts,Contact 99,vendor99@supplier.com,555-1099,Net 60,active,14900
VEN-0100,Vendor Name 100,supplies,Contact 100,vendor100@supplier.com,555-1100,Net 75,inactive,15000
VEN-0101,Vendor Name 101,equipment,Contact 101,vendor101@supplier.com,555-1101,Net 90,active,15100
VEN-0102,Vendor Name 102,software,Contact 102,vendor102@supplier.com,555-1102,Net 15,active,15200
VEN-0103,Vendor Name 103,services,Contact 103,vendor103@supplier.com,555-1103,Net 30,active,15300
VEN-0104,Vendor Name 104,parts,Contact 104,vendor104@supplier.com,555-1104,Net 45,active,15400
VEN-0105,Vendor Name 105,supplies,Contact 105,vendor105@supplier.com,555-1105,Net 60,pending_review,15500
VEN-0106,Vendor Name 106,equipment,Contact 106,vendor106@supplier.com,555-1106,Net 75,active,15600
VEN-0107,Vendor Name 107,software,Contact 107,vendor107@supplier.com,555-1107,Net 90,active,15700
VEN-0108,Vendor Name 108,services,Contact 108,vendor108@supplier.com,555-1108,Net 15,active,15800
VEN-0109,Vendor Name 109,parts,Contact 109,vendor109@supplier.com,555-1109,Net 30,active,15900
VEN-0110,Vendor Name 110,supplies,Contact 110,vendor110@supplier.com,555-1110,Net 45,inactive,16000
VEN-0111,Vendor Name 111,equipment,Contact 111,vendor111@supplier.com,555-1111,Net 60,active,16100
VEN-0112,Vendor Name 112,software,Contact 112,vendor112@supplier.com,555-1112,Net 75,active,16200
VEN-0113,Vendor Name 113,services,Contact 113,vendor113@supplier.com,555-1113,Net 90,active,16300
VEN-0114,Vendor Name 114,parts,Contact 114,vendor114@supplier.com,555-1114,Net 15,active,16400
VEN-0115,Vendor Name 115,supplies,Contact 115,vendor115@supplier.com,555-1115,Net 30,active,16500
VEN-0116,Vendor Name 116,equipment,Contact 116,vendor116@supplier.com,555-1116,Net 45,active,16600
VEN-0117,Vendor Name 117,software,Contact 117,vendor117@supplier.com,555-1117,Net 60,active,16700
VEN-0118,Vendor Name 118,services,Contact 118,vendor118@supplier.com,555-1118,Net 75,active,16800
VEN-0119,Vendor Name 119,parts,Contact 119,vendor119@supplier.com,555-1119,Net 90,active,16900
VEN-0120,Vendor Name 120,supplies,Contact 120,vendor120@supplier.com,555-1120,Net 15,inactive,17000
VEN-0121,Vendor Name 121,equipment,Contact 121,vendor121@supplier.com,555-1121,Net 30,active,17100
VEN-0122,Vendor Name 122,software,Contact 122,vendor122@supplier.com,555-1122,Net 45,active,17200
VEN-0123,Vendor Name 123,services,Contact 123,vendor123@supplier.com,555-1123,Net 60,active,17300
VEN-0124,Vendor Name 124,parts,Contact 124,vendor124@supplier.com,555-1124,Net 75,active,17400
VEN-0125,Vendor Name 125,supplies,Contact 125,vendor125@supplier.com,555-1125,Net 90,active,17500
VEN-0126,Vendor Name 126,equipment,Contact 126,vendor126@supplier.com,555-1126,Net 15,active,17600
VEN-0127,Vendor Name 127,software,Contact 127,vendor127@supplier.com,555-1127,Net 30,active,17700
VEN-0128,Vendor Name 128,services,Contact 128,vendor128@supplier.com,555-1128,Net 45,active,17800
VEN-0129,Vendor Name 129,parts,Contact 129,vendor129@supplier.com,555-1129,Net 60,active,17900
VEN-0130,Vendor Name 130,supplies,Contact 130,vendor130@supplier.com,555-1130,Net 75,inactive,18000
VEN-0131,Vendor Name 131,equipment,Contact 131,vendor131@supplier.com,555-1131,Net 90,active,18100
VEN-0132,Vendor Name 132,software,Contact 132,vendor132@supplier.com,555-1132,Net 15,active,18200
VEN-0133,Vendor Name 133,services,Contact 133,vendor133@supplier.com,555-1133,Net 30,active,18300
VEN-0134,Vendor Name 134,parts,Contact 134,vendor134@supplier.com,555-1134,Net 45,active,18400
VEN-0135,Vendor Name 135,supplies,Contact 135,vendor135@supplier.com,555-1135,Net 60,pending_review,18500
VEN-0136,Vendor Name 136,equipment,Contact 136,vendor136@supplier.com,555-1136,Net 75,active,18600
VEN-0137,Vendor Name 137,software,Contact 137,vendor137@supplier.com,555-1137,Net 90,active,18700
VEN-0138,Vendor Name 138,services,Contact 138,vendor138@supplier.com,555-1138,Net 15,active,18800
VEN-0139,Vendor Name 139,parts,Contact 139,vendor139@supplier.com,555-1139,Net 30,active,18900
VEN-0140,Vendor Name 140,supplies,Contact 140,vendor140@supplier.com,555-1140,Net 45,inactive,19000
VEN-0141,Vendor Name 141,equipment,Contact 141,vendor141@supplier.com,555-1141,Net 60,active,19100
VEN-0142,Vendor Name 142,software,Contact 142,vendor142@supplier.com,555-1142,Net 75,active,19200
VEN-0143,Vendor Name 143,services,Contact 143,vendor143@supplier.com,555-1143,Net 90,active,19300
VEN-0144,Vendor Name 144,parts,Contact 144,vendor144@supplier.com,555-1144,Net 15,active,19400
VEN-0145,Vendor Name 145,supplies,Contact 145,vendor145@supplier.com,555-1145,Net 30,active,19500
VEN-0146,Vendor Name 146,equipment,Contact 146,vendor146@supplier.com,555-1146,Net 45,active,19600
VEN-0147,Vendor Name 147,software,Contact 147,vendor147@supplier.com,555-1147,Net 60,active,19700
VEN-0148,Vendor Name 148,services,Contact 148,vendor148@supplier.com,555-1148,Net 75,active,19800
VEN-0149,Vendor Name 149,parts,Contact 149,vendor149@supplier.com,555-1149,Net 90,active,19900
VEN-0150,Vendor Name 150,supplies,Contact 150,vendor150@supplier.com,555-1150,Net 15,inactive,20000
VEN-0151,Vendor Name 151,equipment,Contact 151,vendor151@supplier.com,555-1151,Net 30,active,20100
VEN-0152,Vendor Name 152,software,Contact 152,vendor152@supplier.com,555-1152,Net 45,active,20200
VEN-0153,Vendor Name 153,services,Contact 153,vendor153@supplier.com,555-1153,Net 60,active,20300
VEN-0154,Vendor Name 154,parts,Contact 154,vendor154@supplier.com,555-1154,Net 75,active,20400
VEN-0155,Vendor Name 155,supplies,Contact 155,vendor155@supplier.com,555-1155,Net 90,active,20500
VEN-0156,Vendor Name 156,equipment,Contact 156,vendor156@supplier.com,555-1156,Net 15,active,20600
VEN-0157,Vendor Name 157,software,Contact 157,vendor157@supplier.com,555-1157,Net 30,active,20700
VEN-0158,Vendor Name 158,services,Contact 158,vendor158@supplier.com,555-1158,Net 45,active,20800
VEN-0159,Vendor Name 159,parts,Contact 159,vendor159@supplier.com,555-1159,Net 60,active,20900
VEN-0160,Vendor Name 160,supplies,Contact 160,vendor160@supplier.com,555-1160,Net 75,inactive,21000
VEN-0161,Vendor Name 161,equipment,Contact 161,vendor161@supplier.com,555-1161,Net 90,active,21100
VEN-0162,Vendor Name 162,software,Contact 162,vendor162@supplier.com,555-1162,Net 15,active,21200
VEN-0163,Vendor Name 163,services,Contact 163,vendor163@supplier.com,555-1163,Net 30,active,21300
VEN-0164,Vendor Name 164,parts,Contact 164,vendor164@supplier.com,555-1164,Net 45,active,21400
VEN-0165,Vendor Name 165,supplies,Contact 165,vendor165@supplier.com,555-1165,Net 60,pending_review,21500
VEN-0166,Vendor Name 166,equipment,Contact 166,vendor166@supplier.com,555-1166,Net 75,active,21600
VEN-0167,Vendor Name 167,software,Contact 167,vendor167@supplier.com,555-1167,Net 90,active,21700
VEN-0168,Vendor Name 168,services,Contact 168,vendor168@supplier.com,555-1168,Net 15,active,21800
VEN-0169,Vendor Name 169,parts,Contact 169,vendor169@supplier.com,555-1169,Net 30,active,21900
VEN-0170,Vendor Name 170,supplies,Contact 170,vendor170@supplier.com,555-1170,Net 45,inactive,22000
VEN-0171,Vendor Name 171,equipment,Contact 171,vendor171@supplier.com,555-1171,Net 60,active,22100
VEN-0172,Vendor Name 172,software,Contact 172,vendor172@supplier.com,555-1172,Net 75,active,22200
VEN-0173,Vendor Name 173,services,Contact 173,vendor173@supplier.com,555-1173,Net 90,active,22300
VEN-0174,Vendor Name 174,parts,Contact 174,vendor174@supplier.com,555-1174,Net 15,active,22400
VEN-0175,Vendor Name 175,supplies,Contact 175,vendor175@supplier.com,555-1175,Net 30,active,22500
VEN-0176,Vendor Name 176,equipment,Contact 176,vendor176@supplier.com,555-1176,Net 45,active,22600
VEN-0177,Vendor Name 177,software,Contact 177,vendor177@supplier.com,555-1177,Net 60,active,22700
VEN-0178,Vendor Name 178,services,Contact 178,vendor178@supplier.com,555-1178,Net 75,active,22800
VEN-0179,Vendor Name 179,parts,Contact 179,vendor179@supplier.com,555-1179,Net 90,active,22900
VEN-0180,Vendor Name 180,supplies,Contact 180,vendor180@supplier.com,555-1180,Net 15,inactive,23000
VEN-0181,Vendor Name 181,equipment,Contact 181,vendor181@supplier.com,555-1181,Net 30,active,23100
VEN-0182,Vendor Name 182,software,Contact 182,vendor182@supplier.com,555-1182,Net 45,active,23200
VEN-0183,Vendor Name 183,services,Contact 183,vendor183@supplier.com,555-1183,Net 60,active,23300
VEN-0184,Vendor Name 184,parts,Contact 184,vendor184@supplier.com,555-1184,Net 75,active,23400
VEN-0185,Vendor Name 185,supplies,Contact 185,vendor185@supplier.com,555-1185,Net 90,active,23500
VEN-0186,Vendor Name 186,equipment,Contact 186,vendor186@supplier.com,555-1186,Net 15,active,23600
VEN-0187,Vendor Name 187,software,Contact 187,vendor187@supplier.com,555-1187,Net 30,active,23700
VEN-0188,Vendor Name 188,services,Contact 188,vendor188@supplier.com,555-1188,Net 45,active,23800
VEN-0189,Vendor Name 189,parts,Contact 189,vendor189@supplier.com,555-1189,Net 60,active,23900
VEN-0190,Vendor Name 190,supplies,Contact 190,vendor190@supplier.com,555-1190,Net 75,inactive,24000
VEN-0191,Vendor Name 191,equipment,Contact 191,vendor191@supplier.com,555-1191,Net 90,active,24100
VEN-0192,Vendor Name 192,software,Contact 192,vendor192@supplier.com,555-1192,Net 15,active,24200
VEN-0193,Vendor Name 193,services,Contact 193,vendor193@supplier.com,555-1193,Net 30,active,24300
VEN-0194,Vendor Name 194,parts,Contact 194,vendor194@supplier.com,555-1194,Net 45,active,24400
VEN-0195,Vendor Name 195,supplies,Contact 195,vendor195@supplier.com,555-1195,Net 60,pending_review,24500
VEN-0196,Vendor Name 196,equipment,Contact 196,vendor196@supplier.com,555-1196,Net 75,active,24600
VEN-0197,Vendor Name 197,software,Contact 197,vendor197@supplier.com,555-1197,Net 90,active,24700
VEN-0198,Vendor Name 198,services,Contact 198,vendor198@supplier.com,555-1198,Net 15,active,24800
VEN-0199,Vendor Name 199,parts,Contact 199,vendor199@supplier.com,555-1199,Net 30,active,24900
VEN-0200,Vendor Name 200,supplies,Contact 200,vendor200@supplier.com,555-1200,Net 45,inactive,25000
VEN-0201,Vendor Name 201,equipment,Contact 201,vendor201@supplier.com,555-1201,Net 60,active,25100
VEN-0202,Vendor Name 202,software,Contact 202,vendor202@supplier.com,555-1202,Net 75,active,25200
VEN-0203,Vendor Name 203,services,Contact 203,vendor203@supplier.com,555-1203,Net 90,active,25300
VEN-0204,Vendor Name 204,parts,Contact 204,vendor204@supplier.com,555-1204,Net 15,active,25400
VEN-0205,Vendor Name 205,supplies,Contact 205,vendor205@supplier.com,555-1205,Net 30,active,25500
VEN-0206,Vendor Name 206,equipment,Contact 206,vendor206@supplier.com,555-1206,Net 45,active,25600
VEN-0207,Vendor Name 207,software,Contact 207,vendor207@supplier.com,555-1207,Net 60,active,25700
VEN-0208,Vendor Name 208,services,Contact 208,vendor208@supplier.com,555-1208,Net 75,active,25800
VEN-0209,Vendor Name 209,parts,Contact 209,vendor209@supplier.com,555-1209,Net 90,active,25900
VEN-0210,Vendor Name 210,supplies,Contact 210,vendor210@supplier.com,555-1210,Net 15,inactive,26000
VEN-0211,Vendor Name 211,equipment,Contact 211,vendor211@supplier.com,555-1211,Net 30,active,26100
VEN-0212,Vendor Name 212,software,Contact 212,vendor212@supplier.com,555-1212,Net 45,active,26200
VEN-0213,Vendor Name 213,services,Contact 213,vendor213@supplier.com,555-1213,Net 60,active,26300
VEN-0214,Vendor Name 214,parts,Contact 214,vendor214@supplier.com,555-1214,Net 75,active,26400
VEN-0215,Vendor Name 215,supplies,Contact 215,vendor215@supplier.com,555-1215,Net 90,active,26500
VEN-0216,Vendor Name 216,equipment,Contact 216,vendor216@supplier.com,555-1216,Net 15,active,26600
VEN-0217,Vendor Name 217,software,Contact 217,vendor217@supplier.com,555-1217,Net 30,active,26700
VEN-0218,Vendor Name 218,services,Contact 218,vendor218@supplier.com,555-1218,Net 45,active,26800
VEN-0219,Vendor Name 219,parts,Contact 219,vendor219@supplier.com,555-1219,Net 60,active,26900
VEN-0220,Vendor Name 220,supplies,Contact 220,vendor220@supplier.com,555-1220,Net 75,inactive,27000
VEN-0221,Vendor Name 221,equipment,Contact 221,vendor221@supplier.com,555-1221,Net 90,active,27100
VEN-0222,Vendor Name 222,software,Contact 222,vendor222@supplier.com,555-1222,Net 15,active,27200
VEN-0223,Vendor Name 223,services,Contact 223,vendor223@supplier.com,555-1223,Net 30,active,27300
VEN-0224,Vendor Name 224,parts,Contact 224,vendor224@supplier.com,555-1224,Net 45,active,27400
VEN-0225,Vendor Name 225,supplies,Contact 225,vendor225@supplier.com,555-1225,Net 60,pending_review,27500
VEN-0226,Vendor Name 226,equipment,Contact 226,vendor226@supplier.com,555-1226,Net 75,active,27600
VEN-0227,Vendor Name 227,software,Contact 227,vendor227@supplier.com,555-1227,Net 90,active,27700
VEN-0228,Vendor Name 228,services,Contact 228,vendor228@supplier.com,555-1228,Net 15,active,27800
VEN-0229,Vendor Name 229,parts,Contact 229,vendor229@supplier.com,555-1229,Net 30,active,27900
VEN-0230,Vendor Name 230,supplies,Contact 230,vendor230@supplier.com,555-1230,Net 45,inactive,28000
VEN-0231,Vendor Name 231,equipment,Contact 231,vendor231@supplier.com,555-1231,Net 60,active,28100
VEN-0232,Vendor Name 232,software,Contact 232,vendor232@supplier.com,555-1232,Net 75,active,28200
VEN-0233,Vendor Name 233,services,Contact 233,vendor233@supplier.com,555-1233,Net 90,active,28300
VEN-0234,Vendor Name 234,parts,Contact 234,vendor234@supplier.com,555-1234,Net 15,active,28400
VEN-0235,Vendor Name 235,supplies,Contact 235,vendor235@supplier.com,555-1235,Net 30,active,28500
VEN-0236,Vendor Name 236,equipment,Contact 236,vendor236@supplier.com,555-1236,Net 45,active,28600
VEN-0237,Vendor Name 237,software,Contact 237,vendor237@supplier.com,555-1237,Net 60,active,28700
VEN-0238,Vendor Name 238,services,Contact 238,vendor238@supplier.com,555-1238,Net 75,active,28800
VEN-0239,Vendor Name 239,parts,Contact 239,vendor239@supplier.com,555-1239,Net 90,active,28900
VEN-0240,Vendor Name 240,supplies,Contact 240,vendor240@supplier.com,555-1240,Net 15,inactive,29000
VEN-0241,Vendor Name 241,equipment,Contact 241,vendor241@supplier.com,555-1241,Net 30,active,29100
VEN-0242,Vendor Name 242,software,Contact 242,vendor242@supplier.com,555-1242,Net 45,active,29200
VEN-0243,Vendor Name 243,services,Contact 243,vendor243@supplier.com,555-1243,Net 60,active,29300
VEN-0244,Vendor Name 244,parts,Contact 244,vendor244@supplier.com,555-1244,Net 75,active,29400
VEN-0245,Vendor Name 245,supplies,Contact 245,vendor245@supplier.com,555-1245,Net 90,active,29500
VEN-0246,Vendor Name 246,equipment,Contact 246,vendor246@supplier.com,555-1246,Net 15,active,29600
VEN-0247,Vendor Name 247,software,Contact 247,vendor247@supplier.com,555-1247,Net 30,active,29700
VEN-0248,Vendor Name 248,services,Contact 248,vendor248@supplier.com,555-1248,Net 45,active,29800
VEN-0249,Vendor Name 249,parts,Contact 249,vendor249@supplier.com,555-1249,Net 60,active,29900
VEN-0250,Vendor Name 250,supplies,Contact 250,vendor250@supplier.com,555-1250,Net 75,inactive,30000
VEN-0251,Vendor Name 251,equipment,Contact 251,vendor251@supplier.com,555-1251,Net 90,active,30100
VEN-0252,Vendor Name 252,software,Contact 252,vendor252@supplier.com,555-1252,Net 15,active,30200
VEN-0253,Vendor Name 253,services,Contact 253,vendor253@supplier.com,555-1253,Net 30,active,30300
VEN-0254,Vendor Name 254,parts,Contact 254,vendor254@supplier.com,555-1254,Net 45,active,30400
VEN-0255,Vendor Name 255,supplies,Contact 255,vendor255@supplier.com,555-1255,Net 60,pending_review,30500
VEN-0256,Vendor Name 256,equipment,Contact 256,vendor256@supplier.com,555-1256,Net 75,active,30600
VEN-0257,Vendor Name 257,software,Contact 257,vendor257@supplier.com,555-1257,Net 90,active,30700
VEN-0258,Vendor Name 258,services,Contact 258,vendor258@supplier.com,555-1258,Net 15,active,30800
VEN-0259,Vendor Name 259,parts,Contact 259,vendor259@supplier.com,555-1259,Net 30,active,30900
VEN-0260,Vendor Name 260,supplies,Contact 260,vendor260@supplier.com,555-1260,Net 45,inactive,31000
VEN-0261,Vendor Name 261,equipment,Contact 261,vendor261@supplier.com,555-1261,Net 60,active,31100
VEN-0262,Vendor Name 262,software,Contact 262,vendor262@supplier.com,555-1262,Net 75,active,31200
VEN-0263,Vendor Name 263,services,Contact 263,vendor263@supplier.com,555-1263,Net 90,active,31300
VEN-0264,Vendor Name 264,parts,Contact 264,vendor264@supplier.com,555-1264,Net 15,active,31400
VEN-0265,Vendor Name 265,supplies,Contact 265,vendor265@supplier.com,555-1265,Net 30,active,31500
VEN-0266,Vendor Name 266,equipment,Contact 266,vendor266@supplier.com,555-1266,Net 45,active,31600
VEN-0267,Vendor Name 267,software,Contact 267,vendor267@supplier.com,555-1267,Net 60,active,31700
VEN-0268,Vendor Name 268,services,Contact 268,vendor268@supplier.com,555-1268,Net 75,active,31800
VEN-0269,Vendor Name 269,parts,Contact 269,vendor269@supplier.com,555-1269,Net 90,active,31900
VEN-0270,Vendor Name 270,supplies,Contact 270,vendor270@supplier.com,555-1270,Net 15,inactive,32000
VEN-0271,Vendor Name 271,equipment,Contact 271,vendor271@supplier.com,555-1271,Net 30,active,32100
